vowel,method,mSTFT,LSD_dB,HNR_frame_median_dB,HNR_ref_dB,run_id
a,ddsp,2.7485179901123047,15.88147258758545,8.434078216552734,8.439098358154297,main
a,pinn_ingraph,6.045736789703369,24.711212158203125,2.82659912109375,8.439098358154297,main
a,pinn_post,1.292246699333191,6.703813552856445,8.449420928955078,8.439098358154297,main
i,ddsp,2.097015380859375,13.218584060668945,6.832818984985352,9.224676132202148,main
i,pinn_ingraph,6.362865447998047,27.43740463256836,4.242952346801758,9.224676132202148,main
i,pinn_post,3.2952089309692383,15.633798599243164,7.806396007537842,9.224676132202148,main
u,ddsp,2.988236904144287,15.452171325683594,7.663636207580566,7.901158809661865,main
u,pinn_ingraph,6.413336753845215,27.381799697875977,2.283867359161377,7.901158809661865,main
u,pinn_post,1.8457484245300293,9.185513496398926,7.803404331207275,7.901158809661865,main
